id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,photos/1/small,photos/1/medium,photos/1/large,photos/1/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/2/small,photos/2/medium,photos/2/large,photos/2/full
52742424,CO489,https:\/\/www.petfinder.com\/dog\/mama-sophie-puppy-tigress-52742424\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Shih Tzu,Chihuahua,,,,,,Baby,Female,Medium,,,,,,,,,,Mama Sophie Puppy - Tigress,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1178836-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/2\/?bust=1629628161&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/2\/?bust=1629628161&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/2\/?bust=1629628161&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/2\/?bust=1629628161,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742424\/1\/?bust=1629628160,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742424,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742407,CO489,https:\/\/www.petfinder.com\/dog\/mama-zelda-pup-zahria-52742407\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Saint Bernard,,,,,,Baby,Female,Medium,,,,,,,,,,Mama Zelda Pup - Zahria,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1184038-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/2\/?bust=1629628162&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/2\/?bust=1629628162&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/2\/?bust=1629628162&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/2\/?bust=1629628162,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742407\/1\/?bust=1629628157,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742407,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742412,CO489,https:\/\/www.petfinder.com\/dog\/mama-zelda-pup-zion-52742412\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,German Shepherd Dog,Saint Bernard,,,Brown \/ Chocolate,,,Baby,Male,Medium,,,,,,,,,,Mama Zelda Pup - Zion,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_1184035-192495,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/1\/?bust=1629628164&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/1\/?bust=1629628164&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/1\/?bust=1629628164&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/1\/?bust=1629628164,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/2\/?bust=1629628151&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/2\/?bust=1629628151&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/2\/?bust=1629628151&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/2\/?bust=1629628151,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/1\/?bust=1629628164&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/1\/?bust=1629628164&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/1\/?bust=1629628164&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742412\/1\/?bust=1629628164,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742412,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742420,CO489,https:\/\/www.petfinder.com\/dog\/mama-heaven-puppy-small-fry-52742420\/co\/lakewood\/moms-and-mutts-colorado-rescue-for-pregnant-and-nursing-dogs-co489\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Great Pyrenees,,,,White \/ Cream,,,Baby,Female,Medium,,,,,,,,,,Mama Heaven Puppy - Small Fry,"*In order to protect our puppies, we do not allow puppies to attend open events until they have a minimum...",ps_83483219,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/1\/?bust=1629628163&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/1\/?bust=1629628163&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/1\/?bust=1629628163&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/1\/?bust=1629628163,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/2\/?bust=1629628150&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/2\/?bust=1629628150&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/2\/?bust=1629628150&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/2\/?bust=1629628150,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/1\/?bust=1629628163&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/1\/?bust=1629628163&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/1\/?bust=1629628163&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742420\/1\/?bust=1629628163,adoptable,2021-08-22T10:18:43+0000,2021-08-22T10:18:43+0000,,Info@mamcorescue.org,(720) 532-1668,,,Lakewood,CO,80227,US,\/v2\/animals\/52742420,\/v2\/types\/dog,\/v2\/organizations\/co489,,,,
52742404,TN16,https:\/\/www.petfinder.com\/cat\/silk-vale-52742404\/tn\/johnson-city\/washington-county-johnson-city-animal-control-ctr-tn16\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Medium Hair,,,,,,,Adult,Female,Medium,,,,,,,,,,Silk (vale),,C2021172,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742404\/1\/?bust=1629628159&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742404\/1\/?bust=1629628159&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742404\/1\/?bust=1629628159&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742404\/1\/?bust=1629628159,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742404\/1\/?bust=1629628159&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742404\/1\/?bust=1629628159&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742404\/1\/?bust=1629628159&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742404\/1\/?bust=1629628159,adoptable,2021-08-22T10:18:29+0000,2021-08-22T10:18:29+0000,,info@wcjcanimalshelter.org,(423) 926-8769,,,Johnson City,TN,37604,US,\/v2\/animals\/52742404,\/v2\/types\/cat,\/v2\/organizations\/tn16,,,,
52742403,TN16,https:\/\/www.petfinder.com\/cat\/poplar-stockyard-52742403\/tn\/johnson-city\/washington-county-johnson-city-animal-control-ctr-tn16\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Young,Female,Medium,,,,,,,,,,Poplar (Stockyard),,C20211289,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742403\/1\/?bust=1629628166&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742403\/1\/?bust=1629628166&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742403\/1\/?bust=1629628166&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742403\/1\/?bust=1629628166,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742403\/1\/?bust=1629628166&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742403\/1\/?bust=1629628166&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742403\/1\/?bust=1629628166&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742403\/1\/?bust=1629628166,adoptable,2021-08-22T10:18:29+0000,2021-08-22T10:18:29+0000,,info@wcjcanimalshelter.org,(423) 926-8769,,,Johnson City,TN,37604,US,\/v2\/animals\/52742403,\/v2\/types\/cat,\/v2\/organizations\/tn16,,,,
52742401,MO141,https:\/\/www.petfinder.com\/cat\/poppy-52742401\/mo\/laurie\/ozarks-kat-and-k9-shelter-mo141\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Long Hair,,,,,,,Baby,Female,Small,,,,,,,,,,Poppy,,S-10473,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/1\/?bust=1629628055&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/1\/?bust=1629628055&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/1\/?bust=1629628055&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/1\/?bust=1629628055,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/2\/?bust=1629628056&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/2\/?bust=1629628056&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/2\/?bust=1629628056&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/2\/?bust=1629628056,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/1\/?bust=1629628055&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/1\/?bust=1629628055&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/1\/?bust=1629628055&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742401\/1\/?bust=1629628055,adoptable,2021-08-22T10:17:22+0000,2021-08-22T10:17:22+0000,,staff3@earthlink.net,(573) 374-2629,,,Laurie,MO,65038,US,\/v2\/animals\/52742401,\/v2\/types\/cat,\/v2\/organizations\/mo141,,,,
52742400,MO141,https:\/\/www.petfinder.com\/cat\/iris-52742400\/mo\/laurie\/ozarks-kat-and-k9-shelter-mo141\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Long Hair,,,,,,,Baby,Female,Small,,,,,,,,,,Iris,,S-10474,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/1\/?bust=1629628049&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/1\/?bust=1629628049&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/1\/?bust=1629628049&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/1\/?bust=1629628049,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/2\/?bust=1629628048&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/2\/?bust=1629628048&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/2\/?bust=1629628048&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/2\/?bust=1629628048,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/1\/?bust=1629628049&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/1\/?bust=1629628049&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/1\/?bust=1629628049&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742400\/1\/?bust=1629628049,adoptable,2021-08-22T10:17:22+0000,2021-08-22T10:17:22+0000,,staff3@earthlink.net,(573) 374-2629,,,Laurie,MO,65038,US,\/v2\/animals\/52742400,\/v2\/types\/cat,\/v2\/organizations\/mo141,,,,
52742402,MO141,https:\/\/www.petfinder.com\/cat\/lily-52742402\/mo\/laurie\/ozarks-kat-and-k9-shelter-mo141\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Long Hair,,,,,,,Baby,Female,Small,,,,,,,,,,Lily,,S-10475,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/1\/?bust=1629628069&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/1\/?bust=1629628069&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/1\/?bust=1629628069&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/1\/?bust=1629628069,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/2\/?bust=1629628068&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/2\/?bust=1629628068&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/2\/?bust=1629628068&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/2\/?bust=1629628068,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/1\/?bust=1629628069&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/1\/?bust=1629628069&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/1\/?bust=1629628069&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742402\/1\/?bust=1629628069,adoptable,2021-08-22T10:17:22+0000,2021-08-22T10:17:22+0000,,staff3@earthlink.net,(573) 374-2629,,,Laurie,MO,65038,US,\/v2\/animals\/52742402,\/v2\/types\/cat,\/v2\/organizations\/mo141,,,,
52742399,MI02,https:\/\/www.petfinder.com\/cat\/termite-52742399\/mi\/dearborn\/friends-for-animals-of-metro-detroit-mi02\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,Termite,Sweet little Termite was found trying to hitch a ride in a jeep. The owner let him hope on board...,S21Y365,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742399\/1\/?bust=1629627985&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742399\/1\/?bust=1629627985&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742399\/1\/?bust=1629627985&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742399\/1\/?bust=1629627985,,,,,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742399\/1\/?bust=1629627985&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742399\/1\/?bust=1629627985&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742399\/1\/?bust=1629627985&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52742399\/1\/?bust=1629627985,adoptable,2021-08-22T10:15:09+0000,2021-08-22T10:15:09+0000,,friends@MetroDetroitAnimals.org,(313) 943-2697,16121 Reckinger Road,,Dearborn,MI,48121,US,\/v2\/animals\/52742399,\/v2\/types\/cat,\/v2\/organizations\/mi02,,,,
