id,organization_id,url,type,species,breeds/primary,breeds/secondary,breeds/mixed,breeds/unknown,colors/primary,colors/secondary,colors/tertiary,age,gender,size,coat,attributes/spayed_neutered,attributes/house_trained,attributes/declawed,attributes/special_needs,attributes/shots_current,environment/children,environment/dogs,environment/cats,name,description,organization_animal_id,primary_photo_cropped,status,status_changed_at,published_at,distance,contact/email,contact/phone,contact/address/address1,contact/address/address2,contact/address/city,contact/address/state,contact/address/postcode,contact/address/country,_links/self/href,_links/type/href,_links/organization/href,photos/0/small,photos/0/medium,photos/0/large,photos/0/full,primary_photo_cropped/small,primary_photo_cropped/medium,primary_photo_cropped/large,primary_photo_cropped/full
52739005,CA1534,https:\/\/www.petfinder.com\/dog\/dog-52739005\/ca\/thousand-palms\/coachella-valley-city-county-animal-shelter-ca1534\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Pit Bull Terrier,,,,,,,Young,Female,Medium,,,,,,,,,,Dog,,A1636348,,adoptable,2021-08-21T20:39:51+0000,2021-08-21T20:39:51+0000,,shelterinfo@rivcocha.org,760 343 3644   ,72-050 Pet Land Place,,Thousand Palms,CA,92276,US,\/v2\/animals\/52739005,\/v2\/types\/dog,\/v2\/organizations\/ca1534,,,,,,,,
52739003,NM137,https:\/\/www.petfinder.com\/cat\/co-pilot-52739003\/nm\/albuquerque\/albuquerque-animal-welfare-westside-nm137\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Medium Hair,,,,,,,Baby,Male,Small,,,,,,,,,,CO-PILOT,,A1835722,,adoptable,2021-08-21T20:39:48+0000,2021-08-21T20:39:48+0000,,cstanley@cabq.gov,505-768-1975 Call Center will direct you ,11800 Sunset Gardens SW,,Albuquerque,NM,87121,US,\/v2\/animals\/52739003,\/v2\/types\/cat,\/v2\/organizations\/nm137,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739003\/1\/?bust=1629579008&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739003\/1\/?bust=1629579008&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739003\/1\/?bust=1629579008&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739003\/1\/?bust=1629579008,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739003\/1\/?bust=1629579008&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739003\/1\/?bust=1629579008&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739003\/1\/?bust=1629579008&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739003\/1\/?bust=1629579008
52738995,TX1003,https:\/\/www.petfinder.com\/cat\/a353778-52738995\/tx\/conroe\/montgomery-county-animal-shelter-tx1003\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Young,Female,Small,,,,,,,,,,A353778,,A353778,,adoptable,2021-08-21T20:39:46+0000,2021-08-21T20:39:46+0000,,shelter.counter@mctx.org,(936) 442-7738,8535 State Highway 242,,Conroe,TX,77385,US,\/v2\/animals\/52738995,\/v2\/types\/cat,\/v2\/organizations\/tx1003,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738995\/1\/?bust=1629579004&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738995\/1\/?bust=1629579004&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738995\/1\/?bust=1629579004&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738995\/1\/?bust=1629579004,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738995\/1\/?bust=1629579004&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738995\/1\/?bust=1629579004&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738995\/1\/?bust=1629579004&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738995\/1\/?bust=1629579004
52739001,OK224,https:\/\/www.petfinder.com\/cat\/udon-52739001\/ok\/tulsa\/tulsa-animal-welfare-ok224\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,UDON,,A143473,,adoptable,2021-08-21T20:39:46+0000,2021-08-21T20:39:46+0000,,TAWinfo@cityoftulsa.org,(918) 596-8000,,,Tulsa,OK,74115,US,\/v2\/animals\/52739001,\/v2\/types\/cat,\/v2\/organizations\/ok224,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739001\/1\/?bust=1629579001&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739001\/1\/?bust=1629579001&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739001\/1\/?bust=1629579001&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739001\/1\/?bust=1629579001,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739001\/1\/?bust=1629579001&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739001\/1\/?bust=1629579001&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739001\/1\/?bust=1629579001&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739001\/1\/?bust=1629579001
52739000,OK224,https:\/\/www.petfinder.com\/cat\/sushi-52739000\/ok\/tulsa\/tulsa-animal-welfare-ok224\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,SUSHI,,A143470,,adoptable,2021-08-21T20:39:46+0000,2021-08-21T20:39:46+0000,,TAWinfo@cityoftulsa.org,(918) 596-8000,,,Tulsa,OK,74115,US,\/v2\/animals\/52739000,\/v2\/types\/cat,\/v2\/organizations\/ok224,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739000\/1\/?bust=1629579002&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739000\/1\/?bust=1629579002&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739000\/1\/?bust=1629579002&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739000\/1\/?bust=1629579002,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739000\/1\/?bust=1629579002&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739000\/1\/?bust=1629579002&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739000\/1\/?bust=1629579002&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739000\/1\/?bust=1629579002
52738997,OK224,https:\/\/www.petfinder.com\/cat\/sapporo-52738997\/ok\/tulsa\/tulsa-animal-welfare-ok224\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Small,,,,,,,,,,SAPPORO,,A143469,,adoptable,2021-08-21T20:39:46+0000,2021-08-21T20:39:46+0000,,TAWinfo@cityoftulsa.org,(918) 596-8000,,,Tulsa,OK,74115,US,\/v2\/animals\/52738997,\/v2\/types\/cat,\/v2\/organizations\/ok224,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738997\/1\/?bust=1629579011&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738997\/1\/?bust=1629579011&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738997\/1\/?bust=1629579011&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738997\/1\/?bust=1629579011,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738997\/1\/?bust=1629579011&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738997\/1\/?bust=1629579011&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738997\/1\/?bust=1629579011&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738997\/1\/?bust=1629579011
52739002,OK224,https:\/\/www.petfinder.com\/cat\/sashimi-52739002\/ok\/tulsa\/tulsa-animal-welfare-ok224\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Female,Small,,,,,,,,,,SASHIMI,,A143472,,adoptable,2021-08-21T20:39:46+0000,2021-08-21T20:39:46+0000,,TAWinfo@cityoftulsa.org,(918) 596-8000,,,Tulsa,OK,74115,US,\/v2\/animals\/52739002,\/v2\/types\/cat,\/v2\/organizations\/ok224,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739002\/1\/?bust=1629579011&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739002\/1\/?bust=1629579011&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739002\/1\/?bust=1629579011&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739002\/1\/?bust=1629579011,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739002\/1\/?bust=1629579011&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739002\/1\/?bust=1629579011&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739002\/1\/?bust=1629579011&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52739002\/1\/?bust=1629579011
52738999,OK224,https:\/\/www.petfinder.com\/cat\/mizo-52738999\/ok\/tulsa\/tulsa-animal-welfare-ok224\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Baby,Male,Small,,,,,,,,,,MIZO,,A143471,,adoptable,2021-08-21T20:39:46+0000,2021-08-21T20:39:46+0000,,TAWinfo@cityoftulsa.org,(918) 596-8000,,,Tulsa,OK,74115,US,\/v2\/animals\/52738999,\/v2\/types\/cat,\/v2\/organizations\/ok224,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738999\/1\/?bust=1629579018&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738999\/1\/?bust=1629579018&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738999\/1\/?bust=1629579018&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738999\/1\/?bust=1629579018,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738999\/1\/?bust=1629579018&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738999\/1\/?bust=1629579018&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738999\/1\/?bust=1629579018&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738999\/1\/?bust=1629579018
52738996,TX1003,https:\/\/www.petfinder.com\/dog\/goldilocks-52738996\/tx\/conroe\/montgomery-county-animal-shelter-tx1003\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Dog,Dog,Labrador Retriever,American Staffordshire Terrier,,,,,,Adult,Female,Medium,,,,,,,,,,GOLDILOCKS,,A355681,,adoptable,2021-08-21T20:39:46+0000,2021-08-21T20:39:46+0000,,shelter.counter@mctx.org,(936) 442-7738,8535 State Highway 242,,Conroe,TX,77385,US,\/v2\/animals\/52738996,\/v2\/types\/dog,\/v2\/organizations\/tx1003,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738996\/1\/?bust=1629579029&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738996\/1\/?bust=1629579029&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738996\/1\/?bust=1629579029&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738996\/1\/?bust=1629579029,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738996\/1\/?bust=1629579029&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738996\/1\/?bust=1629579029&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738996\/1\/?bust=1629579029&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738996\/1\/?bust=1629579029
52738998,OK224,https:\/\/www.petfinder.com\/cat\/astrid-52738998\/ok\/tulsa\/tulsa-animal-welfare-ok224\/?referrer_id=addbfbad-b6a1-45d8-aa0d-9951f349edc0,Cat,Cat,Domestic Short Hair,,,,,,,Young,Female,Medium,,,,,,,,,,ASTRID,,A143468,,adoptable,2021-08-21T20:39:46+0000,2021-08-21T20:39:46+0000,,TAWinfo@cityoftulsa.org,(918) 596-8000,,,Tulsa,OK,74115,US,\/v2\/animals\/52738998,\/v2\/types\/cat,\/v2\/organizations\/ok224,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738998\/1\/?bust=1629579031&width=100,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738998\/1\/?bust=1629579031&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738998\/1\/?bust=1629579031&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738998\/1\/?bust=1629579031,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738998\/1\/?bust=1629579031&width=300,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738998\/1\/?bust=1629579031&width=450,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738998\/1\/?bust=1629579031&width=600,https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/52738998\/1\/?bust=1629579031
